from_stop_I;to_stop_I;attr_dict
6827;5592;{'duration_avg': 180.0, 'n_vehicles': 11, 'route_I_counts': {881: 7, 882: 4}, 'd': 2372}
6827;7171;{'duration_avg': 120.0, 'n_vehicles': 1, 'route_I_counts': {389: 1}, 'd': 2131}
6827;6828;{'duration_avg': 60.0, 'n_vehicles': 15, 'route_I_counts': {881: 7, 882: 4, 389: 4}, 'd': 292}
2732;2753;{'duration_avg': 180.0, 'n_vehicles': 13, 'route_I_counts': {692: 13}, 'd': 813}
2732;2751;{'duration_avg': 60.0, 'n_vehicles': 55, 'route_I_counts': {692: 55}, 'd': 551}
10925;10492;{'duration_avg': 120.0, 'n_vehicles': 13, 'route_I_counts': {549: 3, 550: 10}, 'd': 374}
10925;10471;{'duration_avg': 120.0, 'n_vehicles': 12, 'route_I_counts': {549: 3, 550: 9}, 'd': 303}
2734;2752;{'duration_avg': 60.0, 'n_vehicles': 23, 'route_I_counts': {827: 7, 828: 8, 831: 8}, 'd': 524}
2734;2735;{'duration_avg': 60.0, 'n_vehicles': 26, 'route_I_counts': {827: 9, 828: 9, 831: 8}, 'd': 388}
10927;10492;{'duration_avg': 60.0, 'n_vehicles': 3, 'route_I_counts': {588: 2, 589: 1}, 'd': 628}
10928;10924;{'duration_avg': 60.0, 'n_vehicles': 17, 'route_I_counts': {720: 17}, 'd': 544}
10930;10931;{'duration_avg': 120.0, 'n_vehicles': 23, 'route_I_counts': {578: 1, 547: 4, 548: 18}, 'd': 508}
10930;10390;{'duration_avg': 60.0, 'n_vehicles': 17, 'route_I_counts': {595: 2, 548: 15}, 'd': 368}
10931;10930;{'duration_avg': 120.0, 'n_vehicles': 17, 'route_I_counts': {595: 2, 548: 15}, 'd': 508}
10931;10893;{'duration_avg': 120.0, 'n_vehicles': 23, 'route_I_counts': {578: 1, 547: 4, 548: 18}, 'd': 523}
10933;10449;{'duration_avg': 360.0, 'n_vehicles': 2, 'route_I_counts': {580: 2}, 'd': 2357}
10933;10483;{'duration_avg': 60.0, 'n_vehicles': 13, 'route_I_counts': {606: 4, 605: 5, 590: 4}, 'd': 369}
10933;10471;{'duration_avg': 240.0, 'n_vehicles': 9, 'route_I_counts': {586: 2, 587: 4, 580: 3}, 'd': 1656}
10933;10493;{'duration_avg': 124.0, 'n_vehicles': 15, 'route_I_counts': {603: 1, 605: 8, 606: 6}, 'd': 387}
10933;10477;{'duration_avg': 300.0, 'n_vehicles': 3, 'route_I_counts': {603: 1, 604: 2}, 'd': 1620}
